epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2169.11,0.9262,3.31522,3.26034,1.44891,0.31833,0.47124,0.37504,0.27333,0.28786,0.42952,0.31711,0.16911,0.92241,2.78798,3.23591,1.62703,0.000175258,0.000175258,0.000175258
2,4129.57,0.87785,2.8851,2.44965,1.4091,0.41968,0.61758,0.50433,0.38089,0.39793,0.56633,0.44276,0.25051,0.84126,2.74828,2.43603,1.52305,0.00034365,0.00034365,0.00034365
3,6230.61,0.87007,2.86426,2.20135,1.39726,0.40451,0.64128,0.56977,0.42098,0.38805,0.59705,0.5098,0.27504,0.86926,2.75092,2.40926,1.51102,0.000505098,0.000505098,0.000505098
4,8066.74,0.84545,2.81622,2.04423,1.37946,0.51613,0.65144,0.60933,0.45003,0.4984,0.61839,0.56463,0.27855,0.87583,2.79896,2.3694,1.47783,0.000494756,0.000494756,0.000494756
5,9740.78,0.83702,2.75875,1.94482,1.37508,0.56704,0.69602,0.65948,0.49895,0.55181,0.66949,0.61276,0.31633,0.84712,2.64559,1.72319,1.49921,0.000484341,0.000484341,0.000484341
6,11339,0.82192,2.72356,1.82405,1.36033,0.64389,0.72806,0.73191,0.56431,0.59864,0.68562,0.655,0.35166,0.79669,2.62144,1.54909,1.41119,0.000473926,0.000473926,0.000473926
7,12765.5,0.82811,2.71128,1.72362,1.36297,0.66168,0.71538,0.73299,0.55723,0.62411,0.69359,0.68048,0.35765,0.80137,2.5296,1.51034,1.37626,0.000463511,0.000463511,0.000463511
8,14165.5,0.79831,2.68875,1.64855,1.33882,0.68839,0.72717,0.76224,0.60064,0.66616,0.70015,0.71342,0.38992,0.78169,2.4819,1.46333,1.33696,0.000453096,0.000453096,0.000453096
9,15596.1,0.80017,2.66942,1.59209,1.34444,0.63513,0.75667,0.76072,0.5885,0.60528,0.7156,0.69067,0.37003,0.85466,2.67072,1.53745,1.41824,0.000442682,0.000442682,0.000442682
10,17017.8,0.77924,2.63815,1.53139,1.32349,0.7642,0.76312,0.80231,0.60505,0.72902,0.7274,0.73493,0.39442,0.87509,2.45025,1.25938,1.4259,0.000432267,0.000432267,0.000432267
11,18426,0.77194,2.61416,1.47987,1.326,0.76551,0.73894,0.79248,0.61062,0.71735,0.69932,0.7112,0.38899,0.85673,2.62936,1.3144,1.41685,0.000421852,0.000421852,0.000421852
12,19827,0.76643,2.55114,1.4422,1.31919,0.77147,0.75958,0.80756,0.64377,0.72012,0.72796,0.73519,0.40893,0.7493,2.51401,1.18255,1.34268,0.000411437,0.000411437,0.000411437
13,21274.7,0.753,2.52588,1.38178,1.30521,0.74758,0.78169,0.80771,0.63122,0.71148,0.74038,0.74189,0.41202,0.79637,2.38413,1.27426,1.35987,0.000401022,0.000401022,0.000401022
14,22689,0.75343,2.56718,1.36945,1.30919,0.82028,0.76449,0.81746,0.64566,0.78275,0.72415,0.74544,0.41295,0.79282,2.51342,1.13308,1.35639,0.000390608,0.000390608,0.000390608
15,24096.7,0.7483,2.54681,1.33502,1.30424,0.82323,0.78421,0.8411,0.66185,0.79218,0.73298,0.75873,0.42501,0.78927,2.47076,1.05865,1.33625,0.000380193,0.000380193,0.000380193
16,25530.8,0.74831,2.52851,1.29066,1.30412,0.84067,0.79702,0.84602,0.68228,0.80062,0.75134,0.773,0.43205,0.73253,2.39601,0.97555,1.29261,0.000369778,0.000369778,0.000369778
17,26952.6,0.73565,2.53636,1.26205,1.29641,0.87172,0.80645,0.84952,0.67531,0.80359,0.77726,0.76958,0.43446,0.78779,2.43114,0.97577,1.32381,0.000359363,0.000359363,0.000359363
18,28366.1,0.74539,2.5096,1.25223,1.30146,0.85765,0.80316,0.85311,0.68606,0.79105,0.75833,0.75246,0.42904,0.749,2.41968,0.96764,1.30972,0.000348948,0.000348948,0.000348948
19,29800.2,0.73569,2.47938,1.2398,1.29222,0.85783,0.81241,0.85614,0.69586,0.81033,0.76924,0.77528,0.43798,0.72968,2.36688,0.89325,1.26252,0.000338534,0.000338534,0.000338534
20,31200.3,0.71841,2.51093,1.21669,1.28541,0.86799,0.79641,0.84627,0.67546,0.81464,0.76237,0.76557,0.43197,0.76887,2.37749,0.97058,1.30758,0.000328119,0.000328119,0.000328119
21,32617.4,0.72793,2.48693,1.1808,1.29322,0.86214,0.82368,0.86069,0.69368,0.82084,0.78755,0.79161,0.45187,0.75181,2.32449,0.89608,1.28531,0.000317704,0.000317704,0.000317704
22,34053.5,0.72308,2.46726,1.16636,1.28098,0.82471,0.84585,0.86436,0.70415,0.77146,0.79542,0.76729,0.43865,0.70593,2.40801,0.91079,1.24027,0.000307289,0.000307289,0.000307289
23,35472.9,0.71181,2.46133,1.1403,1.27227,0.86802,0.83962,0.87564,0.70721,0.82631,0.79995,0.80335,0.44962,0.75546,2.33582,0.89142,1.28187,0.000296874,0.000296874,0.000296874
24,37284.4,0.71407,2.43376,1.14185,1.27929,0.86222,0.85285,0.86906,0.71244,0.81745,0.80731,0.79277,0.45559,0.71039,2.30459,0.81089,1.24527,0.00028646,0.00028646,0.00028646
25,38961.1,0.71365,2.42567,1.11182,1.28013,0.83774,0.84412,0.84485,0.67118,0.80817,0.80191,0.78476,0.45367,0.78835,2.23184,0.92263,1.30859,0.000276045,0.000276045,0.000276045
26,40681.9,0.70913,2.42869,1.0963,1.27631,0.86954,0.8245,0.85895,0.68966,0.82543,0.77571,0.78486,0.45825,0.77389,2.34879,0.88753,1.30107,0.00026563,0.00026563,0.00026563
