epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2095.47,0.93179,3.34431,3.25666,1.45172,0.28467,0.53598,0.39859,0.28384,0.26917,0.4769,0.3525,0.19776,0.98951,2.82061,3.10441,1.76733,0.000175258,0.000175258,0.000175258
2,4158.96,0.87898,2.91625,2.44398,1.40314,0.40334,0.604,0.523,0.39747,0.38672,0.55462,0.46508,0.26311,0.79766,2.75945,2.8951,1.46862,0.00034365,0.00034365,0.00034365
3,6664.7,0.8723,2.8707,2.202,1.39619,0.46536,0.62387,0.55036,0.40725,0.42991,0.56636,0.4879,0.26765,0.86692,2.7063,2.92896,1.46337,0.000505098,0.000505098,0.000505098
4,9838.29,0.85624,2.83087,2.05985,1.38057,0.49131,0.67559,0.61602,0.4716,0.47898,0.64072,0.57209,0.30529,0.84257,2.68956,2.10674,1.45691,0.000494756,0.000494756,0.000494756
5,11981.8,0.83961,2.76821,1.94546,1.37302,0.57738,0.66636,0.65064,0.49514,0.55958,0.62988,0.60539,0.3309,0.79716,2.64023,1.72626,1.38989,0.000484341,0.000484341,0.000484341
6,16854.1,0.81995,2.74694,1.83856,1.356,0.57988,0.6862,0.68342,0.52051,0.5523,0.65092,0.61285,0.33749,0.84027,2.61855,1.6632,1.46783,0.000473926,0.000473926,0.000473926
7,19853.4,0.82586,2.72761,1.73856,1.35846,0.64541,0.69552,0.7243,0.55429,0.61859,0.66169,0.66252,0.35045,0.78802,2.57144,1.63072,1.37409,0.000463511,0.000463511,0.000463511
8,23252.8,0.7941,2.70578,1.65641,1.33579,0.6641,0.70745,0.72628,0.56233,0.63303,0.67592,0.66473,0.35868,0.80925,2.53252,1.48746,1.38588,0.000453096,0.000453096,0.000453096
9,25768.9,0.80428,2.68721,1.59931,1.34361,0.61245,0.74888,0.7345,0.55589,0.58693,0.70282,0.6517,0.34625,0.85703,2.63182,1.59534,1.44019,0.000442682,0.000442682,0.000442682
10,27730,0.78068,2.65364,1.53791,1.32234,0.72312,0.73948,0.76884,0.59419,0.68436,0.69617,0.69279,0.36992,0.82252,2.5564,1.31774,1.38659,0.000432267,0.000432267,0.000432267
11,29846.9,0.77347,2.62642,1.4643,1.32374,0.72161,0.77102,0.78003,0.57284,0.67635,0.72098,0.69211,0.36791,0.90934,2.62887,1.49445,1.48679,0.000421852,0.000421852,0.000421852
