epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.46688,2.4705,0.31579,0.57895,2.4034,7.337e-05,7.337e-05,7.337e-05
2,14.1721,1.8724,0.10526,0.78947,2.54661,0.000148347,0.000148347,0.000148347
3,22.0849,1.37063,0.26316,0.63158,3.05826,0.000218042,0.000218042,0.000218042
4,29.4446,0.96291,0.26316,0.63158,4.74554,0.000282454,0.000282454,0.000282454
5,36.2427,0.63011,0.26316,0.47368,4.9074,0.000341584,0.000341584,0.000341584
6,44.2301,0.47002,0.26316,0.36842,3.68022,0.000395431,0.000395431,0.000395431
7,52.3311,0.39002,0.26316,0.36842,4.25048,0.000443995,0.000443995,0.000443995
8,60.2564,0.29911,0.26316,0.52632,6.37543,0.000487277,0.000487277,0.000487277
9,66.7141,0.34002,0.26316,0.47368,5.98549,0.000490912,0.000490912,0.000490912
10,73.7506,0.14242,0.26316,0.36842,5.32355,0.000468901,0.000468901,0.000468901
11,83.1844,0.14797,0.26316,0.42105,5.4087,0.00044689,0.00044689,0.00044689
12,91.1727,0.12136,0.26316,0.52632,5.96044,0.000424879,0.000424879,0.000424879
13,97.6516,0.152,0.26316,0.68421,5.89983,0.000402868,0.000402868,0.000402868
14,105.501,0.07536,0.26316,0.68421,6.12282,0.000380857,0.000380857,0.000380857
15,113.215,0.12365,0.26316,0.57895,6.78055,0.000358846,0.000358846,0.000358846
16,120.553,0.06091,0.26316,0.52632,7.40976,0.000336835,0.000336835,0.000336835
17,127.799,0.07468,0.26316,0.42105,8.05533,0.000314824,0.000314824,0.000314824
18,134.947,0.10607,0.26316,0.36842,7.71438,0.000292813,0.000292813,0.000292813
19,142.758,0.08159,0.26316,0.36842,7.15108,0.000270802,0.000270802,0.000270802
20,150.073,0.08315,0.26316,0.36842,7.34093,0.000248791,0.000248791,0.000248791
21,158.173,0.03337,0.26316,0.36842,7.23108,0.00022678,0.00022678,0.00022678
22,167.32,0.12965,0.26316,0.36842,6.74282,0.000204769,0.000204769,0.000204769
23,174.722,0.04689,0.26316,0.52632,6.59124,0.000182758,0.000182758,0.000182758
24,181.427,0.12351,0.26316,0.52632,6.85014,0.000160747,0.000160747,0.000160747
25,188.429,0.06218,0.26316,0.52632,6.87325,0.000138736,0.000138736,0.000138736
26,194.46,0.05482,0.26316,0.47368,6.90727,0.000116725,0.000116725,0.000116725
27,201.803,0.07084,0.26316,0.47368,6.90659,9.4714e-05,9.4714e-05,9.4714e-05
28,209.515,0.03765,0.26316,0.47368,6.86438,7.2703e-05,7.2703e-05,7.2703e-05
29,217.237,0.05656,0.26316,0.47368,7.00997,5.0692e-05,5.0692e-05,5.0692e-05
30,224.047,0.04098,0.26316,0.47368,7.02783,2.8681e-05,2.8681e-05,2.8681e-05
