epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.35417,2.41992,0.15789,0.57895,2.46012,7.337e-05,7.337e-05,7.337e-05
2,36.1403,1.56775,0.10526,0.57895,2.57175,0.000150372,0.000150372,0.000150372
3,48.8656,0.84554,0.26316,0.57895,3.00814,0.000224205,0.000224205,0.000224205
4,61.1516,0.40306,0.26316,0.47368,4.01445,0.000294869,0.000294869,0.000294869
5,73.4459,0.15686,0.26316,0.47368,4.58569,0.000362362,0.000362362,0.000362362
6,85.7571,0.06657,0.26316,0.52632,4.74045,0.000426687,0.000426687,0.000426687
7,96.2285,0.04612,0.26316,0.36842,4.68491,0.000487841,0.000487841,0.000487841
8,102.332,0.0351,0.26316,0.36842,5.10608,0.000545826,0.000545826,0.000545826
9,108.59,0.02257,0.26316,0.36842,5.7977,0.000561347,0.000561347,0.000561347
10,115.244,0.00471,0.26316,0.42105,5.8998,0.000548141,0.000548141,0.000548141
11,121.627,0.00589,0.26316,0.42105,6.21401,0.000534934,0.000534934,0.000534934
12,127.61,0.01155,0.26316,0.42105,6.36918,0.000521727,0.000521727,0.000521727
13,133.603,0.02706,0.26316,0.42105,6.29229,0.000508521,0.000508521,0.000508521
14,140.559,0.00388,0.26316,0.42105,6.10895,0.000495314,0.000495314,0.000495314
15,147.04,0.00752,0.26316,0.47368,6.00376,0.000482108,0.000482108,0.000482108
16,153.541,0.00316,0.26316,0.47368,6.06135,0.000468901,0.000468901,0.000468901
17,159.567,0.00224,0.26316,0.47368,6.01543,0.000455694,0.000455694,0.000455694
18,165.552,0.0015,0.26316,0.42105,5.89879,0.000442488,0.000442488,0.000442488
19,171.3,0.00314,0.26316,0.47368,5.88635,0.000429281,0.000429281,0.000429281
20,177.207,0.00476,0.26316,0.52632,6.23855,0.000416075,0.000416075,0.000416075
21,183.35,0.00458,0.26316,0.47368,6.21405,0.000402868,0.000402868,0.000402868
22,189.424,0.00236,0.26316,0.47368,6.14791,0.000389661,0.000389661,0.000389661
23,195.227,0.00079,0.26316,0.47368,6.19006,0.000376455,0.000376455,0.000376455
24,201.384,0.0021,0.26316,0.47368,6.2581,0.000363248,0.000363248,0.000363248
25,206.781,0.00549,0.26316,0.36842,6.40264,0.000350042,0.000350042,0.000350042
26,212.841,0.00183,0.26316,0.36842,6.30891,0.000336835,0.000336835,0.000336835
27,219.118,0.0037,0.26316,0.42105,6.50041,0.000323628,0.000323628,0.000323628
28,225.364,0.00207,0.26316,0.36842,6.28096,0.000310422,0.000310422,0.000310422
29,231.589,0.01208,0.26316,0.42105,6.1755,0.000297215,0.000297215,0.000297215
30,237.85,0.00403,0.26316,0.47368,6.00035,0.000284009,0.000284009,0.000284009
31,243.491,0.00543,0.26316,0.47368,6.02628,0.000270802,0.000270802,0.000270802
32,248.576,0.00107,0.26316,0.47368,5.92241,0.000257595,0.000257595,0.000257595
33,253.617,0.00331,0.26316,0.47368,5.93561,0.000244389,0.000244389,0.000244389
34,258.817,0.00141,0.26316,0.47368,5.85929,0.000231182,0.000231182,0.000231182
35,264.678,0.00139,0.26316,0.47368,5.98048,0.000217976,0.000217976,0.000217976
36,270.187,0.00076,0.26316,0.47368,6.04097,0.000204769,0.000204769,0.000204769
37,276.048,0.00208,0.26316,0.47368,6.13485,0.000191562,0.000191562,0.000191562
38,282.054,0.001,0.26316,0.47368,6.19584,0.000178356,0.000178356,0.000178356
39,287.505,0.00295,0.26316,0.47368,6.29099,0.000165149,0.000165149,0.000165149
40,293.206,0.00095,0.26316,0.47368,6.21939,0.000151943,0.000151943,0.000151943
41,299.136,0.00098,0.26316,0.47368,6.25853,0.000138736,0.000138736,0.000138736
42,304.34,0.00178,0.26316,0.47368,6.2964,0.000125529,0.000125529,0.000125529
43,309.743,0.00122,0.26316,0.47368,6.21137,0.000112323,0.000112323,0.000112323
44,315.101,0.00227,0.26316,0.47368,6.47522,9.91162e-05,9.91162e-05,9.91162e-05
45,320.571,0.00076,0.26316,0.47368,6.3719,8.59096e-05,8.59096e-05,8.59096e-05
46,326.682,0.00121,0.26316,0.47368,6.42085,7.2703e-05,7.2703e-05,7.2703e-05
47,332.321,0.0014,0.26316,0.47368,6.40931,5.94964e-05,5.94964e-05,5.94964e-05
48,344.636,0.00157,0.26316,0.47368,6.5331,4.62898e-05,4.62898e-05,4.62898e-05
49,356.032,0.00061,0.26316,0.47368,6.45466,3.30832e-05,3.30832e-05,3.30832e-05
50,368.478,0.00329,0.26316,0.47368,6.55888,1.98766e-05,1.98766e-05,1.98766e-05
